N,block_index,order_position,method_id,phase,time_sec,percent_of_solver_time
200,2,2,plain,operator_and_preconditioner,0.271034833333333,1.43405773608215
200,2,2,plain,residual_sketch,2.07056291666667,10.9554433729883
200,2,2,plain,orthogonalisation_inner_products,0.192549208333333,1.01878669391294
200,2,2,plain,tucker_sums_and_rounding,15.6503799166667,82.8068780536348
200,2,2,plain,small_least_squares,0.0285711666666667,0.151171353450482
200,2,2,plain,basis_normalisation,0.00216308333333333,0.0114449731416701
200,2,2,plain,solution_assembly,0.369989375,1.95763075528527
200,2,2,plain,unclassified_solver_overhead,0.314163375000003,1.66225282843386
200,2,3,rhosvd_sgmres,initial_residual,0,0
200,2,3,rhosvd_sgmres,operator_and_preconditioner,0.27763825,1.66900794621521
200,2,3,rhosvd_sgmres,residual_sketch,0.721324125,4.33620258167502
200,2,3,rhosvd_sgmres,orthogonalisation_inner_products,0.028441125,0.170972348458111
200,2,3,rhosvd_sgmres,tucker_sums_and_rounding,11.466660625,68.931235878623
200,2,3,rhosvd_sgmres,small_least_squares,0.0290376666666667,0.174558427760639
200,2,3,rhosvd_sgmres,basis_normalisation,0.00249466666666667,0.0149965593351236
200,2,3,rhosvd_sgmres,solution_assembly,4.015172625,24.1370020757255
200,2,3,rhosvd_sgmres,unclassified_solver_overhead,0.0941577083333343,0.56602418220742
200,2,4,fixed,initial_residual,0.000149916666666667,7.50545851471452e-05
200,2,4,fixed,operator_and_preconditioner,22.0798331666667,11.0540926188483
200,2,4,fixed,residual_sketch,0,0
200,2,4,fixed,orthogonalisation_inner_products,1.527106,0.76453345618043
200,2,4,fixed,tucker_sums_and_rounding,174.229588875,87.2266560091436
200,2,4,fixed,small_least_squares,0.0106355416666667,0.00532459922806121
200,2,4,fixed,basis_normalisation,0.00560391666666667,0.00280555624646474
200,2,4,fixed,solution_assembly,1.501540375,0.751734229643005
200,2,4,fixed,unclassified_solver_overhead,0.389057375000021,0.19477847612494
200,3,1,plain,initial_residual,0.000521125,0.00264565910811216
200,3,1,plain,operator_and_preconditioner,0.282691666666667,1.43517540456527
200,3,1,plain,residual_sketch,2.12922383333333,10.8096913943254
200,3,1,plain,orthogonalisation_inner_products,0.20117275,1.02131833694693
200,3,1,plain,tucker_sums_and_rounding,16.33502175,82.930005419233
200,3,1,plain,small_least_squares,0.0286325416666667,0.145362330820471
200,3,1,plain,basis_normalisation,0.0022775,0.0115624631685785
200,3,1,plain,solution_assembly,0.395645708333333,2.00862302103636
200,3,1,plain,unclassified_solver_overhead,0.322173166666666,1.63561597079588
200,3,2,rhosvd_sgmres,initial_residual,0,0
200,3,2,rhosvd_sgmres,operator_and_preconditioner,0.272279916666667,1.60441186685715
200,3,2,rhosvd_sgmres,residual_sketch,0.724981166666667,4.2719580690629
200,3,2,rhosvd_sgmres,orthogonalisation_inner_products,0.03041,0.179191199514198
200,3,2,rhosvd_sgmres,tucker_sums_and_rounding,11.6587279583333,68.6991597390157
200,3,2,rhosvd_sgmres,small_least_squares,0.0294977083333333,0.173815512633014
200,3,2,rhosvd_sgmres,basis_normalisation,0.002519625,0.014846913057414
200,3,2,rhosvd_sgmres,solution_assembly,4.15675145833333,24.4936954916522
200,3,2,rhosvd_sgmres,unclassified_solver_overhead,0.0955316666666626,0.562921208207491
200,3,3,fixed,initial_residual,0.000138125,6.93930777798749e-05
200,3,3,fixed,operator_and_preconditioner,22.5230707916667,11.3154403857937
200,3,3,fixed,residual_sketch,0,0
200,3,3,fixed,orthogonalisation_inner_products,1.45454433333333,0.730753361500642
200,3,3,fixed,tucker_sums_and_rounding,173.1793125,87.0041303325085
200,3,3,fixed,small_least_squares,0.01061925,0.00533504029838144
200,3,3,fixed,basis_normalisation,0.006026125,0.00302748496533031
200,3,3,fixed,solution_assembly,1.48019895833333,0.743642073812234
200,3,3,fixed,unclassified_solver_overhead,0.393321166667079,0.197601928043437
200,3,4,relaxed,initial_residual,0.000173333333333333,0.000700655240148582
200,3,4,relaxed,operator_and_preconditioner,3.88384154166667,15.6994265081279
200,3,4,relaxed,residual_sketch,0,0
200,3,4,relaxed,orthogonalisation_inner_products,0.412699166666667,1.6682298099805
200,3,4,relaxed,tucker_sums_and_rounding,18.9561645833334,76.6254002794123
200,3,4,relaxed,small_least_squares,0.00959525,0.0387863203444366
200,3,4,relaxed,basis_normalisation,0.00205258333333333,0.0082970380865864
200,3,4,relaxed,solution_assembly,1.26144425,5.09906263798729
200,3,4,relaxed,unclassified_solver_overhead,0.21277716666664,0.860096750820864
200,4,1,rhosvd_sgmres,initial_residual,0,0
200,4,1,rhosvd_sgmres,operator_and_preconditioner,0.2745305,1.63751384916132
200,4,1,rhosvd_sgmres,residual_sketch,0.716072916666667,4.27121692508121
200,4,1,rhosvd_sgmres,orthogonalisation_inner_products,0.0275137916666667,0.164113695553339
200,4,1,rhosvd_sgmres,tucker_sums_and_rounding,11.4994690833333,68.5917953814267
200,4,1,rhosvd_sgmres,small_least_squares,0.0289779583333333,0.172847126607983
200,4,1,rhosvd_sgmres,basis_normalisation,0.00233554166666667,0.0139309906347745
200,4,1,rhosvd_sgmres,solution_assembly,4.125364875,24.6068910946367
200,4,1,rhosvd_sgmres,unclassified_solver_overhead,0.0908149166666554,0.541690936898011
200,4,2,fixed,initial_residual,0.000135708333333333,6.91149039258718e-05
200,4,2,fixed,operator_and_preconditioner,21.643758625,11.0229509214244
200,4,2,fixed,residual_sketch,0,0
200,4,2,fixed,orthogonalisation_inner_products,1.436526875,0.731608844599751
200,4,2,fixed,tucker_sums_and_rounding,171.396499208333,87.2905317237805
200,4,2,fixed,small_least_squares,0.0107130833333333,0.00545606675099681
200,4,2,fixed,basis_normalisation,0.00573595833333333,0.00292126650879561
200,4,2,fixed,solution_assembly,1.46602216666667,0.746630503179847
200,4,2,fixed,unclassified_solver_overhead,0.392372791666901,0.199831558851831
200,4,3,relaxed,initial_residual,0.000253,0.00102388601113461
200,4,3,relaxed,operator_and_preconditioner,3.83797845833333,15.532223140409
200,4,3,relaxed,residual_sketch,0,0
200,4,3,relaxed,orthogonalisation_inner_products,0.412499541666666,1.66937751111437
200,4,3,relaxed,tucker_sums_and_rounding,18.970398875,76.7728301729494
200,4,3,relaxed,small_least_squares,0.00956633333333333,0.0387147623630463
200,4,3,relaxed,basis_normalisation,0.00200908333333333,0.00813072063321616
200,4,3,relaxed,solution_assembly,1.26678725,5.12666302118055
200,4,3,relaxed,unclassified_solver_overhead,0.210289333333353,0.851036785339301
200,4,4,plain,initial_residual,0.000486916666666667,0.00229093132013937
200,4,4,plain,operator_and_preconditioner,0.282323375,1.32832475549194
200,4,4,plain,residual_sketch,2.09031633333333,9.83488856484455
200,4,4,plain,orthogonalisation_inner_products,0.201281916666667,0.94702662413695
200,4,4,plain,tucker_sums_and_rounding,17.9161216666667,84.294925746899
200,4,4,plain,small_least_squares,0.0293036666666667,0.137873053763322
200,4,4,plain,basis_normalisation,0.00237016666666667,0.0111515777181934
200,4,4,plain,solution_assembly,0.403341041666667,1.89770999497205
200,4,4,plain,unclassified_solver_overhead,0.328547624999999,1.54580875085381
250,1,1,fixed,initial_residual,0.000148041666666667,6.62433246890232e-05
250,1,1,fixed,operator_and_preconditioner,29.4306485,13.1691573615132
250,1,1,fixed,residual_sketch,0,0
250,1,1,fixed,orthogonalisation_inner_products,1.99498316666666,0.892683260289122
250,1,1,fixed,tucker_sums_and_rounding,189.744645083333,84.9039085770361
250,1,1,fixed,small_least_squares,0.012107125,0.00541750326434398
250,1,1,fixed,basis_normalisation,0.006633375,0.00296819688539746
250,1,1,fixed,solution_assembly,1.86953675,0.83655049782141
250,1,1,fixed,unclassified_solver_overhead,0.422935333333356,0.189248359865771
250,1,2,relaxed,initial_residual,0.000164833333333333,0.000603153766020762
250,1,2,relaxed,operator_and_preconditioner,4.61253320833333,16.8780593053715
250,1,2,relaxed,residual_sketch,0,0
250,1,2,relaxed,orthogonalisation_inner_products,0.451737416666666,1.65298558613745
250,1,2,relaxed,tucker_sums_and_rounding,20.5669475833333,75.2580296689935
250,1,2,relaxed,small_least_squares,0.00962879166666667,0.0352334193487118
250,1,2,relaxed,basis_normalisation,0.00248595833333333,0.00909655286706185
250,1,2,relaxed,solution_assembly,1.458479375,5.33682908611642
250,1,2,relaxed,unclassified_solver_overhead,0.226598499999998,0.829163227399318
250,1,3,plain,initial_residual,0.000956708333333333,0.00385320105789659
250,1,3,plain,operator_and_preconditioner,0.313059166666667,1.26086485311709
250,1,3,plain,residual_sketch,2.13674470833333,8.60586940004872
250,1,3,plain,orthogonalisation_inner_products,0.237601041666667,0.956952660710595
250,1,3,plain,tucker_sums_and_rounding,21.32461625,85.8861902116517
250,1,3,plain,small_least_squares,0.027519125,0.110834951330401
250,1,3,plain,basis_normalisation,0.00247058333333333,0.00995042478667831
250,1,3,plain,solution_assembly,0.41555425,1.67367004124917
250,1,3,plain,unclassified_solver_overhead,0.370401416666667,1.4918142560478
250,1,4,rhosvd_sgmres,initial_residual,0,0
250,1,4,rhosvd_sgmres,operator_and_preconditioner,0.316627875,1.6529114282631
250,1,4,rhosvd_sgmres,residual_sketch,0.709492125,3.70380416340529
250,1,4,rhosvd_sgmres,orthogonalisation_inner_products,0.0318752083333333,0.16640005600402
250,1,4,rhosvd_sgmres,tucker_sums_and_rounding,12.7825437083333,66.7294772381513
250,1,4,rhosvd_sgmres,small_least_squares,0.0283323333333333,0.147904973799373
250,1,4,rhosvd_sgmres,basis_normalisation,0.002600125,0.0135735880089919
250,1,4,rhosvd_sgmres,solution_assembly,5.18651075,27.0754521896861
250,1,4,rhosvd_sgmres,unclassified_solver_overhead,0.0977856666666632,0.510476362681755
250,2,1,relaxed,initial_residual,0.000180791666666667,0.000651385917667279
250,2,1,relaxed,operator_and_preconditioner,4.649154875,16.7507389608436
250,2,1,relaxed,residual_sketch,0,0
250,2,1,relaxed,orthogonalisation_inner_products,0.456465833333332,1.644630093918
250,2,1,relaxed,tucker_sums_and_rounding,20.7374797916667,74.7163990091807
250,2,1,relaxed,small_least_squares,0.00989391666666667,0.0356474283691556
250,2,1,relaxed,basis_normalisation,0.0112093333333333,0.0403868276364421
250,2,1,relaxed,solution_assembly,1.65354820833333,5.95767513487325
250,2,1,relaxed,unclassified_solver_overhead,0.236991291666644,0.853871159261199
250,2,2,plain,initial_residual,0.00101920833333333,0.00412177978245431
250,2,2,plain,operator_and_preconditioner,0.320537625,1.29628600849442
250,2,2,plain,residual_sketch,2.11623416666667,8.5582612679178
250,2,2,plain,orthogonalisation_inner_products,0.230971333333333,0.934071024464919
250,2,2,plain,tucker_sums_and_rounding,21.2228859583333,85.8274598111854
250,2,2,plain,small_least_squares,0.0276629583333333,0.111871752469197
250,2,2,plain,basis_normalisation,0.002691875,0.0108862100014497
250,2,2,plain,solution_assembly,0.436236,1.76418173436449
250,2,2,plain,unclassified_solver_overhead,0.369145333333332,1.49286041131992
250,2,3,rhosvd_sgmres,initial_residual,0,0
250,2,3,rhosvd_sgmres,operator_and_preconditioner,0.327694541666667,1.69467743025985
250,2,3,rhosvd_sgmres,residual_sketch,0.700328208333333,3.62175824595844
250,2,3,rhosvd_sgmres,orthogonalisation_inner_products,0.0334284583333333,0.172875793346315
250,2,3,rhosvd_sgmres,tucker_sums_and_rounding,12.9018845416667,66.7222970189775
250,2,3,rhosvd_sgmres,small_least_squares,0.0285200416666667,0.147491840043325
250,2,3,rhosvd_sgmres,basis_normalisation,0.00270783333333333,0.0140036022924458
250,2,3,rhosvd_sgmres,solution_assembly,5.23486241666667,27.0721725876796
250,2,3,rhosvd_sgmres,unclassified_solver_overhead,0.107265166666664,0.554723481442562
250,2,4,fixed,initial_residual,0.000169666666666667,7.56203461800652e-05
250,2,4,fixed,operator_and_preconditioner,31.095747625,13.8593587434014
250,2,4,fixed,residual_sketch,0,0
250,2,4,fixed,orthogonalisation_inner_products,2.05850375,0.917474063976203
250,2,4,fixed,tucker_sums_and_rounding,189.016153958333,84.2444027266423
250,2,4,fixed,small_least_squares,0.011449875,0.00510320340600279
250,2,4,fixed,basis_normalisation,0.00697758333333333,0.00310990530746711
250,2,4,fixed,solution_assembly,1.75152491666667,0.780653755646423
250,2,4,fixed,unclassified_solver_overhead,0.42589679166673,0.189821981273972
250,3,1,plain,initial_residual,0.000500458333333333,0.00181820797364594
250,3,1,plain,operator_and_preconditioner,0.323688875,1.17598939673063
250,3,1,plain,residual_sketch,2.21613858333333,8.05142121639379
250,3,1,plain,orthogonalisation_inner_products,0.258667791666667,0.939762233952982
250,3,1,plain,tucker_sums_and_rounding,23.8635792916667,86.6984267378377
250,3,1,plain,small_least_squares,0.0305407916666667,0.110957310991177
250,3,1,plain,basis_normalisation,0.002859625,0.0103892624626837
250,3,1,plain,solution_assembly,0.436463708333333,1.58571002187743
250,3,1,plain,unclassified_solver_overhead,0.392373249999999,1.42552561177994
250,3,2,rhosvd_sgmres,initial_residual,0,0
250,3,2,rhosvd_sgmres,operator_and_preconditioner,0.309535916666667,1.67042248505893
250,3,2,rhosvd_sgmres,residual_sketch,0.698654666666667,3.77031679250368
250,3,2,rhosvd_sgmres,orthogonalisation_inner_products,0.03000425,0.161919089671595
250,3,2,rhosvd_sgmres,tucker_sums_and_rounding,12.4751324583333,67.3225323474475
250,3,2,rhosvd_sgmres,small_least_squares,0.0283917083333333,0.153216946517736
250,3,2,rhosvd_sgmres,basis_normalisation,0.0026455,0.014276542547346
250,3,2,rhosvd_sgmres,solution_assembly,4.89303241666667,26.4054377176657
250,3,2,rhosvd_sgmres,unclassified_solver_overhead,0.0930000000000035,0.501878078587497
250,3,3,fixed,initial_residual,0.000153416666666667,6.90509698244719e-05
250,3,3,fixed,operator_and_preconditioner,29.738133875,13.3847712211107
250,3,3,fixed,residual_sketch,0,0
250,3,3,fixed,orthogonalisation_inner_products,1.79929516666667,0.809840801252483
250,3,3,fixed,tucker_sums_and_rounding,188.186080875001,84.7002589367863
