N,m,method_code,run_id,restart_length,q,s,zeta,iteration,true_relres
400,160000,2,1,0,2,502,12,175,9.10373859776346e-07
400,160000,2,1,0,2,502,12,200,6.82843815269355e-07
400,160000,2,1,0,2,502,12,225,5.26411436947573e-07
400,160000,2,1,0,2,502,12,250,4.39556873700487e-07
400,160000,2,2,0,2,502,12,0,1
400,160000,2,2,0,2,502,12,5,0.0163729683867076
400,160000,2,2,0,2,502,12,10,0.00310765701795408
400,160000,2,2,0,2,502,12,20,0.00048519096276101
400,160000,2,2,0,2,502,12,30,0.00016165074461738
400,160000,2,2,0,2,502,12,50,3.81297550569523e-05
400,160000,2,2,0,2,502,12,75,1.16761893238379e-05
400,160000,2,2,0,2,502,12,100,4.686594661624e-06
400,160000,2,2,0,2,502,12,125,2.34230757798196e-06
400,160000,2,2,0,2,502,12,150,1.41957212318516e-06
400,160000,2,2,0,2,502,12,175,9.07449897656715e-07
400,160000,2,2,0,2,502,12,200,6.42695644466121e-07
400,160000,2,2,0,2,502,12,225,5.23224198142798e-07
400,160000,2,2,0,2,502,12,250,4.57177042172347e-07
400,160000,2,3,0,2,502,12,0,1
400,160000,2,3,0,2,502,12,5,0.016263398384116
400,160000,2,3,0,2,502,12,10,0.00310165024307362
400,160000,2,3,0,2,502,12,20,0.000486408087193678
400,160000,2,3,0,2,502,12,30,0.000159962182776546
400,160000,2,3,0,2,502,12,50,3.80360250982682e-05
400,160000,2,3,0,2,502,12,75,1.19145713871627e-05
400,160000,2,3,0,2,502,12,100,4.6615617306371e-06
400,160000,2,3,0,2,502,12,125,2.41916055992369e-06
400,160000,2,3,0,2,502,12,150,1.43714597786034e-06
400,160000,2,3,0,2,502,12,175,9.19742261130277e-07
400,160000,2,3,0,2,502,12,200,6.5194759993509e-07
400,160000,2,3,0,2,502,12,225,5.37212489854689e-07
400,160000,2,3,0,2,502,12,250,4.3325934585409e-07
400,160000,2,4,0,2,502,12,0,1
400,160000,2,4,0,2,502,12,5,0.0162917369804461
400,160000,2,4,0,2,502,12,10,0.00311174956725388
400,160000,2,4,0,2,502,12,20,0.000483944850849556
400,160000,2,4,0,2,502,12,30,0.00016142936955268
400,160000,2,4,0,2,502,12,50,3.7562951041506e-05
400,160000,2,4,0,2,502,12,75,1.15110076302333e-05
400,160000,2,4,0,2,502,12,100,4.66410946519204e-06
400,160000,2,4,0,2,502,12,125,2.40786576617886e-06
400,160000,2,4,0,2,502,12,150,1.47365852415482e-06
400,160000,2,4,0,2,502,12,175,9.03040012067077e-07
400,160000,2,4,0,2,502,12,200,6.62011229316896e-07
400,160000,2,4,0,2,502,12,225,5.57976199696154e-07
400,160000,2,4,0,2,502,12,250,4.49887182763015e-07
400,160000,2,5,0,2,502,12,0,1
400,160000,2,5,0,2,502,12,5,0.0162731280271589
400,160000,2,5,0,2,502,12,10,0.00310231414406134
400,160000,2,5,0,2,502,12,20,0.000488994991442184
400,160000,2,5,0,2,502,12,30,0.000162457364549968
400,160000,2,5,0,2,502,12,50,3.81774809678028e-05
400,160000,2,5,0,2,502,12,75,1.17344544763446e-05
400,160000,2,5,0,2,502,12,100,4.74962733160231e-06
400,160000,2,5,0,2,502,12,125,2.391844413968e-06
400,160000,2,5,0,2,502,12,150,1.41478050718131e-06
400,160000,2,5,0,2,502,12,175,9.02985532625942e-07
400,160000,2,5,0,2,502,12,200,6.8287666357508e-07
400,160000,2,5,0,2,502,12,225,5.38754410973564e-07
400,160000,2,5,0,2,502,12,250,4.65927839084294e-07
800,640000,1,0,0,0,0,0,0,1
800,640000,1,0,0,0,0,0,5,0.016180986403643
800,640000,1,0,0,0,0,0,10,0.00304376521967526
800,640000,1,0,0,0,0,0,20,0.000475267349304556
800,640000,1,0,0,0,0,0,30,0.000154231479718755
800,640000,1,0,0,0,0,0,50,3.52755821678683e-05
800,640000,1,0,0,0,0,0,75,1.08198866307688e-05
800,640000,1,0,0,0,0,0,100,4.54597422757019e-06
800,640000,1,0,0,0,0,0,125,2.37925385941503e-06
800,640000,1,0,0,0,0,0,150,1.4307976653107e-06
800,640000,1,0,0,0,0,0,175,9.43489326784388e-07
800,640000,1,0,0,0,0,0,200,6.36832338547079e-07
800,640000,1,0,0,0,0,0,225,4.45154915197778e-07
800,640000,1,0,0,0,0,0,250,3.23239388041243e-07
800,640000,3,0,50,0,0,0,0,1
800,640000,3,0,50,0,0,0,5,0.016180986403643
800,640000,3,0,50,0,0,0,10,0.00304376521967526
800,640000,3,0,50,0,0,0,20,0.000475267349304556
800,640000,3,0,50,0,0,0,30,0.000154231479718755
800,640000,3,0,50,0,0,0,50,3.52755821678683e-05
800,640000,3,0,50,0,0,0,75,1.17757798234726e-05
800,640000,3,0,50,0,0,0,100,4.69196720753556e-06
800,640000,3,0,50,0,0,0,125,2.8382049593002e-06
800,640000,3,0,50,0,0,0,150,1.58752041278548e-06
800,640000,3,0,50,0,0,0,175,1.17230451685145e-06
800,640000,3,0,50,0,0,0,200,8.13050131373215e-07
800,640000,3,0,50,0,0,0,225,6.31146999739777e-07
800,640000,3,0,50,0,0,0,250,4.97463905879519e-07
800,640000,2,1,0,2,502,12,0,1
800,640000,2,1,0,2,502,12,5,0.016224665246729
800,640000,2,1,0,2,502,12,10,0.00308838260377755
800,640000,2,1,0,2,502,12,20,0.000484693268145126
800,640000,2,1,0,2,502,12,30,0.000156724714117942
800,640000,2,1,0,2,502,12,50,3.69804378317078e-05
800,640000,2,1,0,2,502,12,75,1.21098499437752e-05
800,640000,2,1,0,2,502,12,100,5.20777450160823e-06
800,640000,2,1,0,2,502,12,125,2.78632070085307e-06
800,640000,2,1,0,2,502,12,150,1.72463945490894e-06
800,640000,2,1,0,2,502,12,175,1.13852503079555e-06
800,640000,2,1,0,2,502,12,200,8.1746509053671e-07
800,640000,2,1,0,2,502,12,225,6.11885157474969e-07
800,640000,2,1,0,2,502,12,250,4.68252189244558e-07
800,640000,2,2,0,2,502,12,0,1
800,640000,2,2,0,2,502,12,5,0.0162410063297794
800,640000,2,2,0,2,502,12,10,0.00307483514428654
800,640000,2,2,0,2,502,12,20,0.000481828734565288
800,640000,2,2,0,2,502,12,30,0.000159910253612048
800,640000,2,2,0,2,502,12,50,3.68298913936948e-05
800,640000,2,2,0,2,502,12,75,1.16296688415641e-05
800,640000,2,2,0,2,502,12,100,5.04325044271389e-06
800,640000,2,2,0,2,502,12,125,2.71936960349448e-06
800,640000,2,2,0,2,502,12,150,1.68787436329502e-06
800,640000,2,2,0,2,502,12,175,1.16054341229224e-06
800,640000,2,2,0,2,502,12,200,8.01589982558104e-07
800,640000,2,2,0,2,502,12,225,5.78181773320922e-07
800,640000,2,2,0,2,502,12,250,4.44338305198069e-07
800,640000,2,3,0,2,502,12,0,1
800,640000,2,3,0,2,502,12,5,0.0162252981819641
800,640000,2,3,0,2,502,12,10,0.00307327703553067
800,640000,2,3,0,2,502,12,20,0.000479601378570589
800,640000,2,3,0,2,502,12,30,0.000159297158036441
800,640000,2,3,0,2,502,12,50,3.75473445477135e-05
800,640000,2,3,0,2,502,12,75,1.21589432034161e-05
800,640000,2,3,0,2,502,12,100,5.23019367176213e-06
800,640000,2,3,0,2,502,12,125,2.67491934619023e-06
800,640000,2,3,0,2,502,12,150,1.65312216239424e-06
800,640000,2,3,0,2,502,12,175,1.16749679275777e-06
800,640000,2,3,0,2,502,12,200,7.86736369364244e-07
800,640000,2,3,0,2,502,12,225,5.99697668084957e-07
800,640000,2,3,0,2,502,12,250,4.56683984809353e-07
800,640000,2,4,0,2,502,12,0,1
800,640000,2,4,0,2,502,12,5,0.0162542262240362
800,640000,2,4,0,2,502,12,10,0.00308177657179887
800,640000,2,4,0,2,502,12,20,0.000485776862027097
800,640000,2,4,0,2,502,12,30,0.000158853652971213
800,640000,2,4,0,2,502,12,50,3.72314166470815e-05
800,640000,2,4,0,2,502,12,75,1.16673458816678e-05
800,640000,2,4,0,2,502,12,100,5.06784067221434e-06
800,640000,2,4,0,2,502,12,125,2.80426046528764e-06
800,640000,2,4,0,2,502,12,150,1.71921172668185e-06
800,640000,2,4,0,2,502,12,175,1.13257230705897e-06
800,640000,2,4,0,2,502,12,200,7.94733232629839e-07
800,640000,2,4,0,2,502,12,225,6.1082716186514e-07
800,640000,2,4,0,2,502,12,250,4.69475729399566e-07
800,640000,2,5,0,2,502,12,0,1
800,640000,2,5,0,2,502,12,5,0.0162257550701068
800,640000,2,5,0,2,502,12,10,0.00309278692688511
800,640000,2,5,0,2,502,12,20,0.000482041995889539
800,640000,2,5,0,2,502,12,30,0.000156462219854419
800,640000,2,5,0,2,502,12,50,3.67478927702349e-05
800,640000,2,5,0,2,502,12,75,1.18678803248566e-05
800,640000,2,5,0,2,502,12,100,5.03183259293298e-06
800,640000,2,5,0,2,502,12,125,2.64842012029915e-06
800,640000,2,5,0,2,502,12,150,1.71179603975548e-06
800,640000,2,5,0,2,502,12,175,1.16720027336612e-06
800,640000,2,5,0,2,502,12,200,8.04009134165523e-07
800,640000,2,5,0,2,502,12,225,6.11180663479242e-07
800,640000,2,5,0,2,502,12,250,4.61745062355352e-07
1000,1000000,1,0,0,0,0,0,0,1
1000,1000000,1,0,0,0,0,0,5,0.0161755208469415
1000,1000000,1,0,0,0,0,0,10,0.00303534493422474
1000,1000000,1,0,0,0,0,0,20,0.000476032358542297
1000,1000000,1,0,0,0,0,0,30,0.00015517599277896
1000,1000000,1,0,0,0,0,0,50,3.5696293261464e-05
