phase,measured,N,number_of_unknowns,preconditioner_tucker_rank,preconditioner_spectral_delta,preconditioner_condition_number,preconditioner_setup_time_sec,method_index,method_id,method_name,repeat_index,order_position,iterations,passed,stop_reason,final_original_true_relative_residual,final_computed_preconditioned_relative_residual,final_independent_preconditioned_relative_residual,preconditioned_residual_gap,solver_time_sec,diagnostic_time_sec,wall_time_sec,outer_call_time_sec,basis_storage_mib,maximum_basis_rank,solution_mode_1_rank,solution_mode_2_rank,solution_mode_3_rank,rank_cap_active,maximum_operator_error_to_tolerance_ratio,maximum_orthogonalisation_error_to_tolerance_ratio,preallocated_full_basis_gib,conservative_full_array_estimate_gib
warmup,0,200,8000000,8,0.0586364180688692,1.11667759656164,0.164482,2,fixed,Fixed Tucker-GMRES,3,3,4,1,iteration_limit,1.82175891810779e-07,1.11158848696085e-13,6.33516092070347e-11,6.32404503583387e-11,1.62769066666667,0.295773708333333,1.92725408333333,1.93503908333333,4.67648315429688,73,12,12,12,0,0.919101556196225,0.892901799314696,0.298023223876953,1.07288360595703
measured,1,200,8000000,8,0.0586364180688692,1.11667759656164,0.164482,2,fixed,Fixed Tucker-GMRES,3,3,4,1,iteration_limit,1.82175891810779e-07,1.11158848696085e-13,6.33516092070347e-11,6.32404503583387e-11,1.10014225,0.229430583333333,1.33132729166667,1.3323655,4.67648315429688,73,12,12,12,0,0.919101556196225,0.892901799314696,0.298023223876953,1.07288360595703
warmup,0,250,15625000,9,0.0446634764104692,1.08253548475397,0.335459958333333,1,full,Preconditioned full GMRES,1,1,4,1,cycle_length,7.07389356190019e-11,2.81691196964206e-14,2.91788403868499e-14,1.00972069042938e-15,5.732824625,1.17401983333333,6.9069505,6.91535379166667,596.046447753906,NaN,NaN,NaN,NaN,0,NaN,NaN,0.582076609134674,2.09547579288483
measured,1,250,15625000,9,0.0446634764104692,1.08253548475397,0.335459958333333,1,full,Preconditioned full GMRES,1,1,4,1,cycle_length,7.07389356190019e-11,2.81691196964206e-14,2.91788403868499e-14,1.00972069042938e-15,5.3159375,1.001667875,6.317644375,6.389302,596.046447753906,NaN,NaN,NaN,NaN,0,NaN,NaN,0.582076609134674,2.09547579288483
warmup,0,250,15625000,9,0.0446634764104692,1.08253548475397,0.230682125,2,fixed,Fixed Tucker-GMRES,1,2,4,1,computed_preconditioned_floor,3.43962154575798e-07,2.09757401130175e-14,7.32128315231207e-11,7.31918557830077e-11,3.31566158333333,0.481449,3.80051808333333,3.80861345833333,8.25971984863281,89,12,12,12,0,0.937492590596304,0.92168840861335,0.582076609134674,2.09547579288483
measured,1,250,15625000,9,0.0446634764104692,1.08253548475397,0.230682125,2,fixed,Fixed Tucker-GMRES,1,2,4,1,computed_preconditioned_floor,3.43962154575798e-07,2.09757401130175e-14,7.32128315231207e-11,7.31918557830077e-11,2.27017366666667,0.395237625,2.66757754166667,2.66960429166667,8.25971984863281,89,12,12,12,0,0.937492590596304,0.92168840861335,0.582076609134674,2.09547579288483
warmup,0,250,15625000,9,0.0446634764104692,1.08253548475397,0.248752,3,relaxed,Relaxed Tucker-GMRES,1,3,4,1,iteration_limit,4.68358992374808e-07,1.27781907491226e-12,9.73204443026849e-11,9.60426252277726e-11,0.602141708333333,0.40468925,1.00973595833333,1.01699229166667,0.767356872558594,23,12,12,12,0,0.869196875650627,0.870506015771266,0.582076609134674,2.09547579288483
measured,1,250,15625000,9,0.0446634764104692,1.08253548475397,0.248752,3,relaxed,Relaxed Tucker-GMRES,1,3,4,1,iteration_limit,4.68358992374808e-07,1.27781907491226e-12,9.73204443026849e-11,9.60426252277726e-11,0.509060791666667,0.354350458333333,0.865004875,0.865898666666667,0.767356872558594,23,12,12,12,0,0.869196875650627,0.870506015771266,0.582076609134674,2.09547579288483
warmup,0,250,15625000,9,0.0446634764104692,1.08253548475397,0.225299791666667,2,fixed,Fixed Tucker-GMRES,2,1,4,1,computed_preconditioned_floor,3.43962154575798e-07,2.09757401130175e-14,7.32128315231207e-11,7.31918557830077e-11,3.91652995833333,0.46751675,4.387250125,4.39463483333333,8.25971984863281,89,12,12,12,0,0.937492590596304,0.92168840861335,0.582076609134674,2.09547579288483
measured,1,250,15625000,9,0.0446634764104692,1.08253548475397,0.225299791666667,2,fixed,Fixed Tucker-GMRES,2,1,4,1,computed_preconditioned_floor,3.43962154575798e-07,2.09757401130175e-14,7.32128315231207e-11,7.31918557830077e-11,3.07474829166667,0.436138916666667,3.51320420833333,3.51495820833333,8.25971984863281,89,12,12,12,0,0.937492590596304,0.92168840861335,0.582076609134674,2.09547579288483
